"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Microsporidium phytoseiuli",1996,"Phytoseiulus persimilis",,,"adult","cortical region of supraesophageal ganglia; cortical region of subesophageal hanglia; muscles; paranchyma; ventriculus digestive cells; cecal wall; developing eggs","both",,,,"broad; elongate-oval","Biological control agents obtained from a commercial insectary in Europe",1,,,,,"12 - 15",13.5,,,,"Bjørnson S, Steiner MY, Keddie BA. Ultrastructure and Pathology of Microsporidium phytoseiulin. sp. Infecting the Predatory Mite, Phytoseiulus persimilis Athias-Henriot (Acari: Phytoseiidae). Journal of Invertebrate Pathology. 1996;68:223–30."
,"Microsporidium pimphales",1941,"Pimphales promelas",,,,"abdomen","horizontal",4.1,2.6,14.51206366,,,2,,,,,,,,,,"Nosema pimphales F., P. & R., 1941, Parasitology, 11,188, Figs. 1-18."
,"Microsporidium polygonum",1895,"Asplanchna sp.",,,,,,,,,,"Hungary.",,,,,,,,,,,"1. Glugea(?) polygona Fritsch, 1895, Bull. Ac. Prague, p. 85, Fig. 9 [fide Labbe, 1899, ""Das Tierreich,"" 5, Ill]
 2. Plistophora polygona (Fritsch, 1895) Labbe, 1899, loc. cit
 3. Nosema polygona (Fritsch, 1895) Budde, 1927, Arch. Hydrobiol., 18, 444."
,"Microsporidium polysporum",1921,"Tanypus sp.",,,"larva","fat body","horizontal",,,,,"France (near Grenoble).",,,,,,,,,,,"1. Cocconema polyspora L. & H., 1921, C. R. Acad. Sci., 173, 1420. Kudo, 1924, Ill. BioI. Monogr., 9(2(3), 180. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 1
 2. Stempellia polyspora (L. & H., 1921) Weiser, 1961, Monogr. Angew. Entomol., 17, 120."
,"Microsporidium propinqui",1988,"Acanthocephaloides propinquus",,,,,,3.5,1.38,3.489995279,"oviform; elongate","France",,,,,,,,,,,"Loubes, C, and J Maurand. “Premieres observations sur deux Microsporidies hyperparasites d’Acanthoc phales de Poissons marins et lagunaires,” n.d., 8."
,"Microsporidium rapuae",1981,"Ostreu luturiu",,,,,,"5.2(fresh); 4.70(stained)","2.57(fresh); 2.39(stained)","17.9832512753359 (fresh)","Oval","New Zealand",1,,,,"165.514808954378 (fresh)","19-22",20.5,,,,"Jones, J B. “A New Microsporidium from the Oyster Ostrea /Maria in New Zealand,” n.d., 4."
,"Microsporidium rhabdophilia",1981,"Oncorhynchus tshawtscha; Oncorhynchus kisutch; Salmo gairdnerii gairdnerii",,,,"rodlet cells","horizontal","2.9 (fresh)","1.05 (fresh)","1.67407618528166 (fresh)","subcylindrical","U.S.A.",,,,,,"uncoiled",,,,,"1. Modin JC. Microsporidium rhabdophilia n. sp. from rodlet cells of salmonid fishes. J Fish Diseases. 1981;4:203–11."
,"Microsporidium rhabdophilum",1986,"Rhabditis myriophila",,,,"pharyngeal glands; hypodermis; tissues around basal bulb; uterus (wall); oviduct; ovotestis; intestine","both",1.92,0.8,0.6433981755,"bacilliform","U.S.A. (California)",1,,,,,,,,,,"1. Poinar G, Hess R. Microsporidium rhabdophilum sp. n. (Microsporida: Pansporoblastina), a parasite of the nematode, Rhabditis myriophila (Rhabditina: Rhabditidae). Revue Nematol. 1986;9:369–75."
,"Microsporidium rhionicae",1974,"Cercaria rhionica VIII",,,"redia","sporocysts","horizontal","4.3(fresh); 4(stained)","2.85(fresh); 2.75(stained)","18.2876035356279 (fresh)",,"U.S.S.R. (Moscow).",1,,,,,,,,,,"Nosema rhionicae Voronin, 1974, Parazitologiya (Leningr.), 8, 362, Figs. 14-22."
,"Microsporidium rubstovi",1968,"Odagmia caucasica",,,"larva","salivary gland","horizontal",10.85,6,204.5176817,,,,,,,,,,,,,"Stempellia rubstovi Issi, 1968, Acta Protozool., 6, 345, Figs. 1-3."
,"Microsporidium sauridae",1972,"Saurida tumbil",,,,"visceral muscle","horizontal",3.05,1.9,5.765084319,,"India (Waltair).",1,180,150,165,,,,,,,"Nosema sauridae N. & K., 1972, Froc. Indian Acad. Sci., Sect. B, 76, 168, Fig. 2."
,"Microsporidium schaefernai",1937,"Daphnia pulex",,,,"Ovarian cells","vertical","4 (normal spores); 7 (macrospores)","2 (normal spores); 2.5 (macrospores)","8.37758040957278 (normal spores); 22.9074464324256 (macrospores)",,"Czechoslovakia (Lnar).","1 (normal spores)",40,30,"35 (unclear if polar filament range came from normal spores only, or also included macrospores)",,,,,,,"Plistophora schafernai Jirovec, 1937, Zool. Anz., 118, 309,
 Figs. 2, 3a."
,"Microsporidium schmeilii",1895,"Cyclops sp.; Diaptomus vulgaris(= D. coeruleus); D. salinus (= D. richardi)",,,,,,6,4.5,63.61725124,,"Germany (Halle, Heidelberg, Greiswald, Ludwigshafen).",,,,,,,,,,,"1. Glugea schmeilii Pfeiffer, 1895 [fide Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 196]
 2. Plistophora schmeili (Pfeiffer, 1895) Labbe, 1899 in ""Das Tierreich"" (0. Butschli, ed.), 5, 110
 3. Genus incert schmeilii (Pfeiffer,-1895) Kudo, 1924, loc. cit."
,"Microsporidium scolyti",1968,"Scolytus scolytus (type host); S. ensifer; S. multistriaius; S. pygmaeus",,,,"gut; Malpighian tubules; hemocytes","horizontal","4.13(fresh); 2(stained)","2.5(fresh); 1.25(stained)","13.5153933951311 (fresh)",,"Czechoslovakia (near Polarikovo and St. Maria) [Weiser]; Poland (Poznan); U.S.S.R. (Voronezh); Germany (Leipzig) [Lipa].",2,,,,,,,,,,"1. Plistophora scolyti Weiser [nomen nudum], ""Nemoci hmyco"" [fide Weiser, 1968, Folia Parasitol., 15, 12]
 2. Plistophora scolyti Weiser [partim], 1968, loc. cit
 3. Stempellia scolyti (Weiser) Lipa, 1968, Acta Protozool., 6, 69."
,"Microsporidium simulii",1967,"Simulium bezzii",,,"larva","fat body","horizontal",4.5,1.75,7.215845626,,"France (near Montpellier?).",,,,20,,,,,,,"Stempellia simulii M. & M., 1961 , J. Protozool., 14(Suppl.), 47 . Maurand & Manier, 1961 , Protistologica, 3, 448, Fig. 1, PIs. 1, 2. Maurand & Manier, 1968, Ann. Parasitol. Hum. Comp., 43, 81, Figs. 1-3."
,"Microsporidium sitophili",1989,"Sitophilus oryzae",,,"larva; adult","Malpighian tubules; fat body","horizontal","4.14 -+ 0.659 sd (fixed and stained)","1.68 -+ 0.312 sd (fixed and stained)","6.11811346278936 (fixed and stained)","ellipsoidal","India (Chinsurah)",1,28,20,24,,,,,,,"1. Ghose S. First Record of Microsporan Infection on Sitophilus oryzae (L.) in India. Acta Protozool. 1989;28:187–90."
,"Microsporidium slavinae",1921,"Slavina appendiaulata",,,,"epithelial cells of intestine","horizontal",3,3,14.13716694,"spherical","France (Montessaux).",,,,,,,,,,,"1. Cocconema slavinae L. & H., 1921, C. R. Acad. Sci., 173, 1420
 2. Coccospora slavinae (L. & H., 1921) Poisson, 1953, in ""Traita de Zoologie"" (P. P. Grasse, ed.), 1(2),1067."
,"Microsporidium sp.",2002,"Lepidurus apus",,,"immature stages","tissues in protocephalic area; body cavity","horizontal","3.5 -+ 0.4 (live); 3.4 -+ 0.3 (stained)","2.2 -+ 0.3 (live); 2 -+ 0.3 (stained)","8.86976325863518 (live)","ovoid","Ukraine",,,,,,,,,,,"1. Kilochitskii PY, Ovcharenko NA, Polkovenko OV, Shostak LV. Microsporidia of Branchiopods from the Northern regions of Ukraine. Hydrobiol J. 2002;38:65–76."
,"Microsporidium sp. 1",1922,"Cimex rotundatus",,,,"gut; salivary gland; ovary","both",3,1.7,4.539601384,,"India.",,,,,,,,,,,"1. ""Leishman-Donovan bodies"" Adie, 1922, Indian J. Med. Res., 9(3), v
 2. Nosema adiei Christophers [nomen nudum], 1922, ibid., 9(4), v. Shortt & Swaminath, 1924, Indian J. Med. Res., 12, 181, Figs. 1-3. Weiser, 1961, Monogr. Angew. Entomol., 17, 60
 3. ""Parasites"" Adie, 1922, Indian J. Med. Res., 10,236."
,"Microsporidium sp. 10",1968,"Cheimatobia brumata",,,,,,,,,,"U.S.S.R.",,,,,,,,,,,"""unidentified microsporidians"" I. & L., 1968, Acta Protozool., 6, 288."
,"Microsporidium sp. 11",1968,"Anisoplia austpiaca",,,,,,,,,,"U.S.S.R.",,,,,,,,,,,"""unidentified microsporidians"" I. & L., 1968, Acta Protozool., 6, 288."
,"Microsporidium sp. 12",1969,"Colias eurytheme",,,,,,,,,,"U.S.A. (California).",,,,,,,,,,,"""Microsporidian"" Tanada, 1969, J. Invertebr. Pathol., 13, 313."
,"Microsporidium sp. 13",1970,"Ictalurus punctatus",,,,"ventricle of heart; intestinal submucosa","horizontal",,,,,"U.S.A. (Maryland).",,,,,,,,,,,"""A microsporidan"" H. & P., 1970, J. Wildl. Dis., 6, 173, Fig. l."
,"Microsporidium sp. 14",1970,"Theristus (= Daptonema) albigensis",,,,"muscle","horizontal",,,,,"Canada (Prince Edward Island).",,,,,,,,,,,"""microsporidia"" H., M. & C., 1970, J. Invertebr. Pathol., 16, 376."
,"Microsporidium sp. 15",1970,"Culex quinquefasciatus",,,"larva","fat body","horizontal",7,3,32.98672286,,"U.S.A. (Houston, Texas).",,,,,,,,,,,"""an unidentified microsporidia"" M., B., S. & B., 1970, Proc. Tex. Mosquito Contr. Assoc., 1970, 4."
,"Microsporidium sp. 16",1971,"Lacerta muralis",,,,"gut epithelium","horizontal",,,,,"France",,,,,,,,,,,"""microsporidan"" C. & L., 1971, Trans. Roy. Soc. Trop. Med. Hyg., 65, 431."
,"Microsporidium sp. 17",1971,"Trogoderma simplex",,,"adult (?)",,,6.5,3,30.63052837,,"U.S.A. (Sonoma County, California)",,53,47,50,,,,,,,"""microsporidan"" H., S., A. & S., 1971, J. Invertebr. Pathol. , 18, 259."
,"Microsporidium sp. 18",1973,"Planorbid snails morphologically similar to Biomphalaria straminea",,,,,,,,,,"Grenada",,,,,,,,,,,"""microsporidia"" Richards, 1973, J. Parasitol. , 22, lll."
,"Microsporidium sp. 19",1973,"Callicebus moloch",,,,"jejunal epithelium","horizontal",4,,,,"U.S.A. (Louisiana).",,,,,,,7,,,,"""microsporidian"" S. & F., 1973, Lab. Anim. Sci., 23, 117, Figs. 1-3."
,"Microsporidium sp. 2",1935,"Pleuronectes flesus",,,,"Lymphocystis lesions on skin","horizontal",3.3,2,6.911503838,,"England",1,,,,,,,,,,"Microsporidium sp. Raabe, 1935, Bull. Inst. Oceanogr. (Monaco), 665, 1-11, Figs. 1-4."
,"Microsporidium sp. 20",1973,"Brachionus plicatilis",,,,,,,,,,"U.S.A. (Maryland).",,,,,,,,,,,"Bertramia asperospora (Fritsch). Badalamente & Vernick [partim], 1973"" Arch. Protistenkd., 115, 1, Figs. 5,6."
,"Microsporidium sp. 21",1974,"Colias eurytheme; Trichoplusia ni",,,"larva",,,,,,,"U.S.A. (California).",,,,,,,,,,,"""Microsporidian infection"" T. & O., 1974, J. Invertebr. Pathol., 23, 362."
,"Microsporidium sp. 22",1975,"Anthonomus grandis",,,,,,,,,,"U.S.A. (Mississippi).",,,,,,,,,,,"""microsporidan"" B. & M., 1975, J. Invertebr. Pathol., 25, 133."
,"Microsporidium sp. 23",1975,"Tropidiscus planorbis; Cercaria echinoparyphii recurvati; Cercaria burti; Cercaria helvetica V (= VII); Xiphidiocercariae of the microcotylae group",,,,"digestive gland","horizontal",2.85,1.3,2.521913503,,"Germany",,,,,,,,,,,"1. Nosema sp. Schaller, 1959, Z. Wiss. Zool., 162, 187, Figs. 6-8, 10-19, 22. Schaller, 1960, Urania, 19, 36, Figs. 3-5
 2. Microsporidium sp. (Schaller, 1959) Canning, 1975, C I H Misc. Publ. 2, 12."
,"Microsporidium sp. 24",1999,"Prosopium williamsoni",,,"adult",,,,,,"ovoid (from figures)","Canada (Kootenay Lake, British Colombia)",,,,,,,,,,,"Kent ML, Docker M, Khattra J, Vossbrinck CR, Speare DJ, Devlin RH. A new Microsporidium sp. (microsporidia) from the musculature of the mountain whitefish Prosopium williamsoni from British Columbia: morphology and phylogeny. J Parasitol. 1999;85:1114–9."
,"Microsporidium sp. 25",2016,"Ips amitinus",,,,"midgut epithelium; midgut muscles; fat body; Malpighian tubules; gonads","both","3.5 (fresh)",2.5,"11.4537232162128 (fresh)","oval","(Tamsweg) Austria",1,,,,43.19689899,2022-04-07,5.5,,,,"Holuša J, Lukášová K, Žižka Z, Händel U, Haidler B, Wegensteiner R. Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasit. 2016;61:621–8."
,"Microsporidium sp. 3",1960,"Chironomus anthracinus",,,"larva","salivary gland","horizontal",,,,,"Germany",,,,,,,,,,,"""Mikrosporidien"" Keyl, 1960, Naturwissenschaften, 47, 212."
,"Microsporidium sp. 4",1966,"Sciara ocellaris; Rhynchosciara angelae",,,"larva and adult","salivary gland; tracheal cells; muscle; fat body","horizontal",5.5,2.75,21.77843657,,"U.S.A. (Tennessee) [P. P. P. (1969); Brazil (Sao Paulo) [P., B., R. & W.]",,,,,30.23782929,2022-03-04,3.5,,,,"1. ""a protozoan"" Diaz & Pavan [partim], 1965, Proc. Natl. Acad. Sci. U. S. A., 54,1321
 2. ""microsporidian"" P. & B. [partim], 1966, Science (Wash., D. C.), 155, 1556. [?]Pavan & Perondini, 1966, Genetics, 54, 353. Pavan & Da Cunha [partim], 1968, in ""Proceedings of the International Seminar on the Chromosomes--its Structure and Function"" (A. K. Sharma & A. Sharma, eds.), p. 184
 3. Thelohania sp. Pavan, Perondini & Picard, 1969, Chromo soma , 28, 331, Figs. 1, 3, 7, 11. Pavan, Biesele, Riess & Wertz, 1971, Stud. Genet., 6, 243, Fig. 28."
,"Microsporidium sp. 5",1968,"Crambus trisectus","C. teterrellus",,"larva","midgut","horizontal","3.11(fresh)","1.51(fresh)","3.71289703723163 (fresh)",,"U.S.A. (Illinois).",,,,,,,,,,,"""microsporidian"" sp. Banerjee, 1968, Ann. Entomol. Soc. Am., 61, 545."
,"Microsporidium sp. 6",1968,"Argyresthia pygmaella",,,"larva",,,"1.95(stained)","1.2(stained)","1.47026536188002 (stained)",,"U.S.S.R. (Krasnodar Country).",,,,,,,,,,,"""microsporidian"" I. & L., 1968, Acta Protozool., 6, 283."
,"Microsporidium sp. 7",1968,"Panolis flammea",,,,,,,,,,"U.S.S.R.",,,,,,,,,,,"""unidentified microsporidians"" I. & L., 1968, Acta Protozool., 6, 288."
,"Microsporidium sp. 8",1968,"Notodonta trepida",,,,,,,,,,"U.S.S.R.",,,,,,,,,,,"""unidentified microsporidians"" I. & L., 1968, Acta Protozool., 6, 288."
,"Microsporidium sp. 9",1968,"Diopyctria splendidella",,,,,,,,,,"U.S.S.R.",,,,,,,,,,,"""unidentified microsporidians"" I. & L., 1968, Acta Protozool., 6, 288."
,"Microsporidium spelotremae",1925,"Spelotrema carcini",,,,"parenchyma; hypodermal cells; vitellaria; epithelium of excretory tubules","horizontal",2.8,1.4,2.87351008,,"France; England.",,,,106,,,,,,,"1. Nosema (Plistophora) spelotremae G., N. & P., 1925, Rev. Suisse Zool., 31, 399, Figs. 2, 5, 7
 2. Nosema spelotremae G., N. & P., 1925. Jorovec, 1936, Vestn. Cesk. Spol. Zool., 4, 60. Stanier, Woodhouse & Griffin, 1968, J. Invertebr. Pathol., 12, 73, Figs. 1-7
 3. Microsporidium spelotremae(G. N. & P., 1925) Canning, 1975, C I H Misc. Publ., 2, 2."
,"Microsporidium stagnalis",2002,"Daphnia pulex",,,,"hematocoel; adipose tissue","horizontal","4.8 -+ 0.4 (live); 4.1 (stained); 3.05 (fixed and stained)","2.4 -+ 0.3 (live); 2.7 (stained); 1.7 (fixed and stained)","14.4764589477418 (live)","ellipsoidal","Ukraine",1,,,,"105.557513160617 (live)",,14,,,,"1. Kilochitskii PY, Ovcharenko NA, Polkovenko OV, Shostak LV. Microsporidia of Branchiopods from the Northern regions of Ukraine. Hydrobiol J. 2002;38:65–76."
,"Microsporidium stempelli",1905,"Balanus amaryllis",,,,"body cavity (between mantle and testis); female glands","horizontal",1.5,1.5,1.767145868,"spherical","Gulf of Persia.",,,,,,,,,,,"1. Glugea stempelli Perez, 1905, C. R. Soc. Biol., 58, 151. Perez, 1905, Bull. Sta. Biol. d'Arcachon, 8, 29, Fig.14
 2. Cocconema stempelli (Perez) Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 181, Fig. 641
 3. Coccospora stempelli (Perez, 1905) Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed.), 1(2),1067."
,"Microsporidium synapturae",2004,"Synaptura cadenati (1); Synaptura lusitanica (2)",,,,"liver (1;2)","horizontal","3.95 ± 0.38 um (c1); 3.66 ± 0.70 um (c2)","2.40 ± 0.27 um (c1); 1.77 ± 0.19 um (c2)","11.9129193424125 (c1); 6.00380033090319 (c2)","oval (c1, c2)","Senegal","1 (c1); 1 (c2)",,,,"71.6283125018473 (c1)","9-10 (c1)","9.5 (c1)",,,,"1. Faye N, Toguebaye BS, Bouix G. First report of microsporidian infections in solefishes from Senegal coast (West Africa). Bull Eur Assoc Fish Pathol. Aberdeen: Eur Assoc Fish Pathologists; 2004;24:115–8."
,"Microsporidium tabani",1965,"Tabanus atratus",,,,,,"2.83 (normal spores, fresh); 4.32 (macrospores)","2.02 (normal spores, fresh); 2.65 (macrospores)","6.04627361638217 (normal spores, fresh); 15.8845207750807 (macrospores)",,"U.S.A. (Mississippi).",,,,"34.9 (unclear what spore class this belongs to)",,,,,,,"Thelohania tabani Gingrich, 1965, J. Invertebr. Pathol., 1,236, Figs. 1-18. Hazard & Oldacre, 1975, U. S. Dep. Agric. Tech. Bull., 1530, 95."
,"Microsporidium termitis",1943,"Reticulitermes flavipes",,,,"midgut epithelium","horizontal","7(fresh); 6.75(stained)","4.35(fresh); 4.05(stained)","69.3545848188117 (fresh)",,"U.S.A. (vicinity of Urbana, Illinois).",1,"100 (max)",,,,,,,,,"1. Nosema sp. Kudo, 1938, J. Parasitol., 24, 377, Fig. 1
 2. Nosema termitis Kudo, 1943, J. Morphol.73, 265, Figs. 1-46. Weiser, 1961, Monogr. Angew. Entomol.,17, 57."
,"Microsporidium thomsoni",1961,"Muscina assimilis",,,"adult","epithelium of chyle stomach; anterior portion of proximal intestine","horizontal","3.44(stained)","1.54(stained)","4.2716779853587 (stained)",,"U.S.A. (Urbana, Illinois).",2,70,60,65,,,,,,,"Thelohania thomsoni Kramer, 1961, J. Insect Pathol., 3, 259, Figs. 1-18. Hazard & Oldacre, 1975, U. S. Dep. Agric. Tech. Bull., 1530, 95."
,"Microsporidium tritoni",1960,"Triturus vulgaris",,,"larva","connective tissue anterior to anus","horizontal",,,,,"Czechoslovakia (near Chatebor).",,,,,,,,,,,"Nosema tritoni Weiser, 1960, Vestn. Cesk. Spol. Zool., 24, 232, 8 figs."
,"Microsporidium tuzetae",1971,"Aedes detritus",,,"larva",,,10.71,3.78,80.12567346,,"France (Aiques-Mortes, Gard).",,,,,,,,,,,"Stempellia tuzetae T., R. & C., 1971, Ann. Parasitol. Hum.
 Comb., 46, 216, Figs. 9, 11."
,"Microsporidium vanstraeleniae",2004,"Vanstraelenia chirophthalmus",,,,"liver","horizontal","3.78 ± 0.31 um","1.94 ± 0.23 um",7.44892981,"elongated oval","Senegal",1,,,,27.42610387,2022-04-05,4.5,,,,"1. Faye N, Toguebaye BS, Bouix G. First report of microsporidian infections in solefishes from Senegal coast (West Africa). Bull Eur Assoc Fish Pathol. Aberdeen: Eur Assoc Fish Pathologists; 2004;24:115–8."
,"Microsporidium weiseri",1960,"Opilio parientinus",,,,"haemocytes","horizontal",2.8,1.4,2.87351008,,"Czechoslovakia (Trebic).",,,,,,,,,,,"Stempellia weiseri SilhavY, 1960, Vestn. Cesk. Spol. Zool., 24, 50, Figs. 1-12."
,"Mitoplistophora angularis",1966,"Emphemera danica",,,"nymph","fat body","horizontal",4,2,8.37758041,"pyriform","Roumania (Transylvania)",,,,,,,,,,,"Mitoplistophora angularis Codreanu, 1966, in ""Proceedings 1st International Congress of Parasitology"" (A. Corradetti, ed.), pp. 602"
,"Mockfordia xanthocaeciliae",2010,"Xanthocaecilius sommermanae; Polypsocus corruptus",,,,"Muscles","horizontal","2.48 ± 0.097 (fixed)","1.41 ± 0.018 um (fixed)","2.5815974799021 (fixed)","Ovocylindrical","(TN) USA",2,,,,"31.0075194909313 (fixed)",2022-06-08,7,"FJ865224",,,"Sokolova YY, Sokolov IM, Carlton CE. New microsporidia parasitizing bark lice (Insecta: Psocoptera). Journal of Invertebrate Pathology. Elsevier; 2010;104:186–94."
,"Mrazekia argoisi",1916,"Asellus aquaticus",,,,"fat bodies around stomach; nerve chain; wall of blood sinuses; vessels near hematopoietic organs; undifferentiated cytoplasm of muscle bundles","horizontal",18.25,3.88,143.8549937,,"France (vicinity of Grenoble) [L. & H.]; Belgium
 (vicinity of Louvain) [Debaisieux].",1,,,,,,,,,,"1. Mrazekia argoisi L. & H., 1916, C. R. Soc. BioI., 79, 347, Figs. 4-6. Leger & Hesse, 1924, Trav. Lab. Hydrobiol. Pisco Univ. Grenoble, 14, 52. Kudo, 1924, Ill. BioI. Monogr., 9(2/3), 182, Figs.1542-644, textfig. B5. Debaisieux, 1931, Cellule, 40, 147, Figs. 1-81
 2. Bacillidium argoisi (L. & H., 1916) Jirovec, 1936, Arch. Protistenkd., 87, 317. Weiser, 1947, Acta Soc. Sci. Nat. Moravicae, 18, 26. Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed.), 1(2), 1068
 3. Bacillidium (Mrazekia) argoisi (L. & H., 1916) Jirovec, 1936, ibid., 336, Fig. 8."
,"Mrazekia brevicauda",1916,"Chironomus plumosus; C. anthracinus",,,"larva","fat body","horizontal",21,1.45,23.11819494,,"France (vicinity of Grenoble [L. & H.]; Germany
 (Lake Plan) [Weiser].",,,,,,,,,,,"Mrazekia brevicauda L. & H., 1916, C. R. Soc. Biol., 79, 347, Fig. 2. Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 184, Fig. 645. Jirovec, 1936, Arch. Prbtistenkd., 87, 317. Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed.), 1(2), p. 1068. Weiser, 1961, Monogr. Angew. Entomol., 17,122."
,"Mrazekia caudata",1916,"Tubifex tubifex",,,,"lymphocytes in body cavity","horizontal",16.4,1.55,20.63031536,,"France (vicinity of Grenoble) [L. & H.]; Czechoslovakia
 (vicinity of Prague) [Lom].",1,,,,,,,,,,"1. Mrazekia caudata L. & H., 1916, C. R. Soc. Biol., 79, 347. Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 182, Figs. 647-651. Jirovec, 1936, Arch. Protistenkd., 87, 317. Lom, 1958, Cesk. Parasitol., 5, 147, Figs. 1-35
 2. Mrazekia (Myxocystis) caudata L. & H., 1916, Poisson, 1953, in ""Traite de Zoologie"" (P. P. Grasse, ed.), 1(2), 1068."
,"Mrazekia criodrili",1928,"Criodrilus lacuum",,,,"lymphocytes lying in body cavity","horizontal",20,1.53,24.51384748,,"Czechoslovakia.",2,,,,,,,,,,"1. Bacillidium criodrili Janda, 1928, Arch. Protistenkd., 63, 86, textfigs. 1, 2, Pl. 8. Jirovec, 1936, ibid., 87, 326, textr figs. 5, 6, Pl. 14-figs. 14-17
 2. Mrazekia criodrili (Janda, 1928) Sprague, 1970, J. Parasitol., 56, Sec. II, Pt. I, 327."
,"Mrazekia cyclopis","1962; 1993","Acanthocyclops americanus","A. vernalis; Mesocyclops dybowski; Diacyclops crassicaudis; Cyclops strenuus",,,"fat body","horizontal",7.35,1.4,7.542963961,,"Czech Republic",2,,,,10.99557429,"2 - 3",2.5,,,,"1. Bacillidium cyclopis Vavra, 1962, Vestn. Cesk. Spol. Zool., 26, 295, Figs. 1-5.
 2. Larsson JIR, Vavra J, Schrevel J. Bacillidium cyclopis Vávra, 1962 — Description of the ultrastructural cytology and transfer to the genus Mrazekia Léger and Hesse, 1916 (Microspora, Mrazekiidae). Eur J Protistol. 1993;29:49–60."
,"Mrazekia hematobia",1936,"Limnodriulus hoffmeisteri",,,,"free in blood system","horizontal",16.5,1.3,14.60055186,,"U.S.S.R. (Turkestan).",2,,,,,,,,,,"Bacillidium hematobium Jirovec, 1936, Arch. Protistenkd., 87 335, Fig. 7c-d, Pl. 15-figs. 20, 21."
